Title,Status,Category,Plan ID,PR Link,Match %,PR Type,Effort,Body
[001] SDPA tile: bump BLOCK_M on f16/bf16,🔴 Blocked,Quick-win,001,,,,,"Target kernel is scalar vector; BLOCK_M constant does not exist. Needs re-scope or prerequisite tiled kernel.

Worktree: `../metaltile-perf-idea-1`

Details: perf-research/ideas/001-sdpa-tile-block-m.md"
[002] SDPA: BLOCK_N 64 → 128 on D=128,🔴 Blocked,Quick-win,002,,,,,"Same blocker as #1: scalar vector kernel, no BLOCK_N constant.

Details: perf-research/ideas/002-sdpa-block-n.md"
[003] SDPA: split-K for low-occupancy H=8,🔴 Blocked,Quick-win,003,,,,,"Requires split-K kernel variant + dispatcher changes + merge kernel. Multi-day effort.

Details: perf-research/ideas/003-sdpa-split-k.md"
[004] SDPA-vector decode: GQA-aware K/V reuse,🔴 Blocked,Quick-win,004,,,,,"`simd_shuffle` can't cross threadgroups; real fix is dispatch-shape change + cooperative tg-mem K/V caching.

Worktree: `../metaltile-perf-idea-4`

Details: perf-research/ideas/004-sdpa-gqa-kv-reuse.md"
[005] SDPA-vector: 8-wide vec loads f16/bf16,🔴 Blocked,Quick-win,005,#47,30%,Codegen infra,,"DSL has no vector-load primitive.

📎 Mapped to upstream PR #47 (FA2 prefill kernel) — match: 30%, type: Codegen infra

Details: perf-research/ideas/005-sdpa-vec8-loads.md"
[006] RMS-norm: unroll 4 → 8,⚫ Abandoned,Quick-win,006,,,,,"8-wide unroll pushes register pressure to 162r (was 9r), occupancy drops to 73%, kernel becomes register-limited. Reverted.

Worktree: `../metaltile-perf-idea-6`

Details: perf-research/ideas/006-rms-norm-unroll-8.md"
[007] Softmax: simdgroup reduce for small N,🟢 Done,Quick-win,007,,,,,"tpg=32 beats tpg=256 by ~1.65× on N=32. Adds `softmax_small_n` bench variant. Real value is dispatch heuristic.

Worktree: `../metaltile-perf-idea-7`

Details: perf-research/ideas/007-softmax-small-n.md"
[008] Softmax: float4 loads on f16/bf16,🔴 Blocked,Quick-win,008,#47,30%,Codegen infra,,"DSL has no vector-load primitive. Same blocker as #5.

📎 Mapped to upstream PR #47 (FA2 prefill kernel) — match: 30%, type: Codegen infra

Details: perf-research/ideas/008-softmax-float4-loads.md"
[009] LayerNorm: mirror RMS-norm tweaks,⚫ Abandoned,Quick-win,009,,,,,"Same register pressure issue as #6. Not benched — predicted worse due to more live state.

Details: perf-research/ideas/009-layernorm-mirror-rms.md"
[010] GEMV: tune `simd_per_tg` per K,🟢 Done,Quick-win,010,,,,,"tpg=512 beats baseline by +1.8% on f16. tpg=1024 is a −20% regression on f16. f32/bf16 flat.

Worktree: `../metaltile-perf-idea-10`

Details: perf-research/ideas/010-gemv-tpg-sweep.md"
[011] GEMV-masked: dense fallback,🔴 Blocked,Quick-win,011,,,,,"Dispatcher-level heuristic. `#[bench_kernel]` doesn't support runtime kernel selection.

Details: perf-research/ideas/011-gemv-masked-dense-fallback.md"
[012] all_reduce: two-stage simd→tg,no-op,Quick-win,012,,,,,"Already optimal — `tile inspect` confirms.

Details: perf-research/ideas/012-020-feasibility-study.md#12-all_reduce-two-stage-simdthreadgroup"
[013] row-reduce: rows-per-tg small N,⚠️ Feasible,Quick-win,013,,,,,"Dispatch-level change. Small-N only.

Details: perf-research/ideas/012-020-feasibility-study.md#13-row-reduce-rows-per-threadgroup-when-n-is-small"
